GPROF,OPTIMIZE,DEVEL_MODE,STATS,dataset,training_inputs_count,runtime,
yes,-O0,yes,INST_MIX,mnist,200,1.210287094116211,
yes,-O0,yes,INST_MIX,emnist,150,3.4899659156799316,
yes,-O0,yes,INST_MIX,cifar10,100,2.3713860511779785,
yes,-O0,yes,INST_MIX,cifar100,5,1.1192100048065186,
