GPROF,OPTIMIZE,DEVEL_MODE,STATS,dataset,training_inputs_count,runtime,
no,-O0,yes,INST_MIX,mnist,200,0.4826819896697998,
no,-O0,yes,INST_MIX,emnist,150,1.3730719089508057,
no,-O0,yes,INST_MIX,cifar10,100,0.9111239910125732,
no,-O0,yes,INST_MIX,cifar100,5,0.41507697105407715,
