GPROF,OPTIMIZE,DEVEL_MODE,STATS,dataset,training_inputs_count,runtime,
yes,-O3,yes,INST_MIX,mnist,200,0.005014896392822266,
yes,-O3,yes,INST_MIX,emnist,150,0.010987043380737305,
yes,-O3,yes,INST_MIX,cifar10,100,0.014338970184326172,
yes,-O3,yes,INST_MIX,cifar100,5,0.026999950408935547,
